#,Group Code,Group Description,Desc,Age,Condition,Qty,Item Amount,Reported Cost,Unit Cost,Coverage,Sales Tax,RCV,Life,Depreciation Type,Depreciation Amount,Recoverable,ACV,Tax,Replace,Cat,Sel,Owner,Original Vendor,Date,Source Name,Unit Location,Note 1
1,BUILDING_ROO,Building Roof,Laminated - comp. shingle rfg. - w/out felt,0.00,Average,117.88,"26,478.21",0.00,224.62,Building,0.00,"$31,773.85",30.00,Age/Condition,0.00,Yes,"31,773.85",Yes,No,RFG,300S,PAULGAGN,,2022-10-12,,RWGC_100_CLUB,
2,BUILDING_ROO,Building Roof,Re-nailing of roof sheathing - complete re-nail,0.00,Average,"11,787.69","4,361.45",0.00,0.37,Building,8.25,"$5,243.66",150.00,Percent,0.00,Yes,"5,243.66",Yes,No,RFG,RENAIL,PAULGAGN,,2022-10-17,,RWGC_100_CLUB,
3,BUILDING_ROO,Building Roof,Drip edge/gutter apron,0.00,Average,526.20,"2,304.76",0.00,4.38,Building,49.36,"$2,824.96",35.00,Percent,0.00,Yes,"2,824.96",Yes,No,RFG,DRIP>,PAULGAGN,,2022-12-15,,RWGC_100_CLUB,
4,BUILDING_ROO,Building Roof,Roofing felt - 30 lb.,0.00,Average,235.75,"13,572.13",0.00,57.57,Building,283.35,"$16,626.58",20.00,Percent,0.00,Yes,"16,626.58",Yes,No,RFG,FELT30,PAULGAGN,,2022-10-17,,RWGC_100_CLUB,
5,BUILDING_ROO,Building Roof,Roofing felt - 30 lb. - Roof Wet Cement - FBC 903.2.1,0.00,Average,117.88,"2,032.25",0.00,17.24,Building,142.26,"$2,609.43",20.00,Percent,0.00,Yes,"2,609.43",Yes,No,RFG,FELT30,PAULGAGN,,2022-10-17,,RWGC_100_CLUB,Roof cement application on all penetrations and felt edging FBC 2020
6,BUILDING_ROO,Building Roof,Asphalt starter - universal starter course,0.00,Average,526.20,"1,447.05",0.00,2.75,Building,19.52,"$1,759.89",20.00,Percent,0.00,Yes,"1,759.89",Yes,No,RFG,ASTR-,PAULGAGN,,2022-10-12,,RWGC_100_CLUB,
7,BUILDING_ROO,Building Roof,Laminated - comp. shingle rfg. - w/out felt,0.00,Average,135.67,"43,617.91",0.00,321.50,Building,"1,226.43","$53,813.20",30.00,Percent,0.00,Yes,"53,813.20",Yes,No,RFG,300S,PAULGAGN,,2022-12-17,,RWGC_100_CLUB,
8,BUILDING_ROO,Building Roof,Flashing - pipe jack,0.00,Average,6.00,457.26,0.00,76.21,Building,6.18,$556.14,35.00,Percent,0.00,Yes,556.14,Yes,No,RFG,FLPIPE,PAULGAGN,,2022-10-12,,RWGC_100_CLUB,
9,BUILDING_ROO,Building Roof,Roof vent - turtle type - Metal,0.00,Average,5.00,539.35,0.00,107.87,Building,9.26,$658.35,35.00,Percent,0.00,Yes,658.35,Yes,No,RFG,VENTT,PAULGAGN,,2022-10-12,,RWGC_100_CLUB,
10,BUILDING_ROO,Building Roof,Roof vent - turbine type,5.00,Average,2.00,366.02,0.00,183.01,Building,12.32,$454.00,35.00,Age/Condition,48.37,Yes,405.63,Yes,No,RFG,VENTB,STAPLES1,,2022-11-02,,RWGC_100_CLUB,
