#,Group Code,Group Description,Desc,Age,Condition,Qty,Item Amount,Reported Cost,Unit Cost,Unit,Coverage,Activity,Worker's Wage,Labor burden,Labor Overhead,Material,Equipment,Market Conditions,Labor Minimum,Sales Tax,RCV,Life,Depreciation Type,Depreciation Amount,Recoverable,ACV,Tax,Replace,Cat,Sel,Owner,Original Vendor,Date
1,,,Anchor - twist in ground type,0.00,Average,1.00,18.72,0.00,18.72,EA,,Remove,7.58,4.40,6.74,0.00,0.00,0.00,ACCMN-A,0.00,22.46,150.00,Percent,0.00,Yes,22.46,Yes,No,ACC,ANCR,PAULGAGN,,11/2/2020
3,,,Anchor - two crossed rods driven into the ground,0.00,Average,1.00,26.56,0.00,26.56,EA,,Remove,10.76,6.24,9.56,0.00,0.00,0.00,ACCMN-A,0.00,31.88,150.00,Percent,0.00,Yes,31.88,Yes,No,ACC,ANCR+,PAULGAGN,,11/2/2020
4,,,Axle - electric brake (with springs),0.00,Average,1.00,137.75,0.00,137.75,EA,,Remove,55.79,32.38,49.58,0.00,0.00,0.00,ACCMN-A,0.00,165.31,150.00,Percent,0.00,Yes,165.31,Yes,No,ACC,BAXL,PAULGAGN,,11/2/2020
5,,,Accessories - Mobile Home (Bid Item),0.00,Average,1.00,0.00,0.00,0.00,EA,,Replace,0.00,0.00,0.00,0.00,0.00,0.00,None,0.00,0,0.00,Percent,0.00,Yes,0.00,Yes,No,ACC,BIDITM,PAULGAGN,,11/2/2020
6,,,Axle - drag (with springs) - no brakes,0.00,Average,1.00,137.75,0.00,137.75,EA,,Remove,55.79,32.38,49.58,0.00,0.00,0.00,ACCMN-A,0.00,165.31,150.00,Percent,0.00,Yes,165.31,Yes,No,ACC,DAXL,PAULGAGN,,11/2/2020
7,,,Axle hubs - brake type,0.00,Average,1.00,127.11,0.00,127.11,EA,,Remove,51.48,29.88,45.75,0.00,0.00,0.00,ACCMN-A,0.00,152.53,150.00,Percent,0.00,Yes,152.53,Yes,No,ACC,DAXL-,PAULGAGN,,11/2/2020
8,,,Equalizers,0.00,Average,1.00,137.75,0.00,137.75,EA,,Remove,55.79,32.38,49.58,0.00,0.00,0.00,ACCMN-A,0.00,165.31,150.00,Percent,0.00,Yes,165.31,Yes,No,ACC,EQL,PAULGAGN,,11/2/2020
9,,,"Hitch - ""A"" frame style with coupler",0.00,Average,1.00,49.18,0.00,49.18,EA,,Remove,19.92,11.56,17.70,0.00,0.00,0.00,ACCMN-A,0.00,59.02,150.00,Percent,0.00,Yes,59.02,Yes,No,ACC,HTCH,PAULGAGN,,11/2/2020
10,,,Axle hubs - drag type,0.00,Average,1.00,79.51,0.00,79.51,EA,,Remove,32.20,18.69,28.62,0.00,0.00,0.00,ACCMN-A,0.00,95.41,150.00,Percent,0.00,Yes,95.41,Yes,No,ACC,HUBS,PAULGAGN,,11/2/2020
11,,,I beam repair,0.00,Average,1.00,266.62,0.00,266.62,EA,,Replace,91.78,43.44,131.40,0.00,0.00,0.00,ACCMN-A,0.00,319.94,150.00,Percent,0.00,Yes,319.94,Yes,No,ACC,IBEAM,PAULGAGN,,11/2/2020
12,,,Mobile Home Repair - per hour,0.00,Average,1.00,119.98,0.00,119.98,HR,,Replace,41.30,19.55,59.13,0.00,0.00,0.00,ACCMN-A,0.00,143.98,150.00,Percent,0.00,Yes,143.98,Yes,No,ACC,LAB,PAULGAGN,,11/2/2020
13,,,Mobile Home - General Laborer - per hour,0.00,Average,1.00,77.07,0.00,77.07,HR,,Replace,31.01,18.00,28.06,0.00,0.00,0.00,ACCMN-A,0.00,92.49,150.00,Percent,0.00,Yes,92.49,Yes,No,ACC,LABL,PAULGAGN,,11/2/2020
14,,,Mobile Home Accessory - Labor Minimum,0.00,Average,1.00,299.96,0.00,299.96,EA,,Replace,103.25,48.88,147.83,0.00,0.00,0.00,ACCMN-A,0.00,359.96,0.00,Percent,0.00,Yes,359.96,Yes,No,ACC,MN,PAULGAGN,,11/2/2020
15,,,"Outrigger - up to 30"" long",0.00,Average,1.00,49.18,0.00,49.18,EA,,Remove,19.92,11.56,17.70,0.00,0.00,0.00,ACCMN-A,0.00,59.02,150.00,Percent,0.00,Yes,59.02,Yes,No,ACC,OTRG,PAULGAGN,,11/2/2020
16,,,Rim - doughnut type with no center,0.00,Average,1.00,49.18,0.00,49.18,EA,,Remove,19.92,11.56,17.70,0.00,0.00,0.00,ACCMN-A,0.00,59.02,150.00,Percent,0.00,Yes,59.02,Yes,No,ACC,RIM,PAULGAGN,,11/2/2020
17,,,Spring - mono or single leaf only,0.00,Average,1.00,58.03,0.00,58.03,EA,,Remove,23.50,13.64,20.89,0.00,0.00,0.00,ACCMN-A,0.00,69.63,150.00,Percent,0.00,Yes,69.63,Yes,No,ACC,SPNG,PAULGAGN,,11/2/2020
18,,,Tire - 7 x 14.5 or 8 x 14.5 mounted,0.00,Average,1.00,49.18,0.00,49.18,EA,,Remove,19.92,11.56,17.70,0.00,0.00,0.00,ACCMN-A,0.00,59.02,150.00,Percent,0.00,Yes,59.02,Yes,No,ACC,TIRE,PAULGAGN,,11/2/2020
19,,,Tire and rim/wheel - 7 x 14.5 or 8 x 14.5,0.00,Average,1.00,49.18,0.00,49.18,EA,,Remove,19.92,11.56,17.70,0.00,0.00,0.00,ACCMN-A,0.00,59.02,150.00,Percent,0.00,Yes,59.02,Yes,No,ACC,TIRE+,PAULGAGN,,11/2/2020
20,,,Tongue jack,0.00,Average,1.00,59.04,0.00,59.04,EA,,Remove,23.91,13.88,21.25,0.00,0.00,0.00,ACCMN-A,0.00,70.84,150.00,Percent,0.00,Yes,70.84,Yes,No,ACC,TNGJK,PAULGAGN,,11/2/2020
21,,,Acoustic ceiling tile,0.00,Average,0.00,0.00,0.00,1.02,SF,,Remove,0.41,0.24,0.37,0.00,0.00,0.00,ACTMN-A,0.00,0,150.00,Percent,0.00,Yes,0.00,Yes,No,ACT,AV,PAULGAGN,,11/2/2020
23,,,Acoustic ceiling tile - High grade,0.00,Average,0.00,0.00,0.00,1.02,SF,,Remove,0.41,0.24,0.37,0.00,0.00,0.00,ACTMN-A,0.00,0,150.00,Percent,0.00,Yes,0.00,Yes,No,ACT,AV+,PAULGAGN,,11/2/2020
24,,,Acoustic ceiling tile - Premium grade,0.00,Average,0.00,0.00,0.00,1.02,SF,,Remove,0.41,0.24,0.37,0.00,0.00,0.00,ACTMN-A,0.00,0,150.00,Percent,0.00,Yes,0.00,Yes,No,ACT,AV++,PAULGAGN,,11/2/2020
25,,,Tear off asbestos acoustic ceiling tile (no haul off),0.00,Average,0.00,0.00,0.00,7.86,SF,,Remove,2.06,0.97,4.59,0.24,0.00,0.00,ACTMN-A,0.00,0,150.00,Percent,0.00,Yes,0.00,Yes,No,ACT,AVARMV,PAULGAGN,,11/2/2020
26,,,Ceiling panel - w/battens & staples- mobile home,0.00,Average,0.00,0.00,0.00,0.72,SF,,Remove,0.29,0.17,0.26,0.00,0.00,0.00,ACTMN-A,0.00,0,150.00,Percent,0.00,Yes,0.00,Yes,No,ACT,AVM,PAULGAGN,,11/2/2020
27,,,Ceiling panel -High grade w/battens & staples- mobile home,0.00,Average,0.00,0.00,0.00,0.72,SF,,Remove,0.29,0.17,0.26,0.00,0.00,0.00,ACTMN-A,0.00,0,150.00,Percent,0.00,Yes,0.00,Yes,No,ACT,AVM+,PAULGAGN,,11/2/2020
28,,,Ceiling panel -glued w/no battens & staples- mobile home,0.00,Average,0.00,0.00,0.00,0.72,SF,,Remove,0.29,0.17,0.26,0.00,0.00,0.00,ACTMN-A,0.00,0,150.00,Percent,0.00,Yes,0.00,Yes,No,ACT,AVM++,PAULGAGN,,11/2/2020
29,,,Special - ballroom ceiling panels - Premium grade,0.00,Average,0.00,0.00,0.00,0.35,SF,,Remove,0.14,0.08,0.13,0.00,0.00,0.00,ACTMN-A,0.00,0,150.00,Percent,0.00,Yes,0.00,Yes,No,ACT,BALL++,PAULGAGN,,11/2/2020
30,,,Acoustical Treatments (Bid Item),0.00,Average,1.00,0.00,0.00,0.00,EA,,Replace,0.00,0.00,0.00,0.00,0.00,0.00,None,0.00,0,0.00,Percent,0.00,Yes,0.00,Yes,No,ACT,BIDITM,PAULGAGN,,11/2/2020
31,,,Batten for ceiling panel - mobile home,0.00,Average,0.00,0.00,0.00,0.51,LF,,Remove,0.21,0.12,0.18,0.00,0.00,0.00,ACTMN-A,0.00,0,150.00,Percent,0.00,Yes,0.00,Yes,No,ACT,BTN,PAULGAGN,,11/2/2020
32,,,Acoustical wall treatment - cloth - theater sound,0.00,Average,0.00,0.00,0.00,0.80,SF,,Remove,0.32,0.19,0.29,0.00,0.00,0.00,FNHMN-A,0.00,0,150.00,Percent,0.00,Yes,0.00,Yes,No,ACT,DRAPE,PAULGAGN,,11/2/2020
34,,,Acoustic ceiling tile furring,0.00,Average,0.00,0.00,0.00,0.51,SF,,Remove,0.21,0.12,0.18,0.00,0.00,0.00,ACTMN-A,0.00,0,150.00,Percent,0.00,Yes,0.00,Yes,No,ACT,FUR,PAULGAGN,,11/2/2020
35,,,Acoustical Treatments Installer - per hour,0.00,Average,0.00,0.00,0.00,150.87,HR,,Replace,40.78,19.14,90.95,0.00,0.00,0.00,ACTMN-A,0.00,0,0.00,Percent,0.00,Yes,0.00,Yes,No,ACT,LAB,PAULGAGN,,11/2/2020
36,,,Acoustical Treatments - General Laborer - per hour,0.00,Average,0.00,0.00,0.00,77.07,HR,,Replace,31.01,18.00,28.06,0.00,0.00,0.00,ACTMN-A,0.00,0,0.00,Percent,0.00,Yes,0.00,Yes,No,ACT,LABL,PAULGAGN,,11/2/2020
37,,,"Light diffusing panel (i.e., cracked ice)",0.00,Average,0.00,0.00,0.00,0.31,SF,,Remove,0.13,0.07,0.11,0.00,0.00,0.00,ACTMN-A,0.00,0,10.00,Percent,0.00,Yes,0.00,Yes,No,ACT,LP,PAULGAGN,,11/2/2020
38,,,"Light diffusing panel - High grade (i.e., mist white)",0.00,Average,0.00,0.00,0.00,0.31,SF,,Remove,0.13,0.07,0.11,0.00,0.00,0.00,ACTMN-A,0.00,0,10.00,Percent,0.00,Yes,0.00,Yes,No,ACT,LP+,PAULGAGN,,11/2/2020
39,,,"Light diffusing panel - Premium grade (i.e., egg crate)",0.00,Average,0.00,0.00,0.00,0.31,SF,,Remove,0.13,0.07,0.11,0.00,0.00,0.00,ACTMN-A,0.00,0,10.00,Percent,0.00,Yes,0.00,Yes,No,ACT,LP++,PAULGAGN,,11/2/2020
40,,,Acoustic Ceiling - Labor Minimum,0.00,Average,1.00,453.06,0.00,453.06,EA,,Replace,122.46,57.48,273.12,0.00,0.00,0.00,ACTMN-A,0.00,543.68,0.00,Percent,0.00,Yes,543.68,Yes,No,ACT,MN,PAULGAGN,,11/2/2020
41,,,Acoustical ceilings - metal tray type,0.00,Average,0.00,0.00,0.00,0.69,SF,,Remove,0.28,0.16,0.25,0.00,0.00,0.00,ACTMN-A,0.00,0,150.00,Percent,0.00,Yes,0.00,Yes,No,ACT,MTRAY,PAULGAGN,,11/2/2020
42,,,Suspended ceiling grid - 2' x 4',0.00,Average,0.00,0.00,0.00,0.31,SF,,Remove,0.13,0.07,0.11,0.00,0.00,0.00,ACTMN-A,0.00,0,150.00,Percent,0.00,Yes,0.00,Yes,No,ACT,SG,PAULGAGN,,11/2/2020
43,,,Suspended ceiling grid - High grade - 2' x 4',0.00,Average,0.00,0.00,0.00,0.31,SF,,Remove,0.13,0.07,0.11,0.00,0.00,0.00,ACTMN-A,0.00,0,150.00,Percent,0.00,Yes,0.00,Yes,No,ACT,SG+,PAULGAGN,,11/2/2020
44,,,Suspended ceiling grid - Premium grade - 2' x 4',0.00,Average,0.00,0.00,0.00,0.31,SF,,Remove,0.13,0.07,0.11,0.00,0.00,0.00,ACTMN-A,0.00,0,150.00,Percent,0.00,Yes,0.00,Yes,No,ACT,SG++,PAULGAGN,,11/2/2020
45,,,Suspended ceiling grid - 2' x 2',0.00,Average,0.00,0.00,0.00,0.34,SF,,Remove,0.14,0.08,0.12,0.00,0.00,0.00,ACTMN-A,0.00,0,150.00,Percent,0.00,Yes,0.00,Yes,No,ACT,SG2,PAULGAGN,,11/2/2020
46,,,Suspended ceiling grid - High grade - 2' x 2',0.00,Average,0.00,0.00,0.00,0.34,SF,,Remove,0.14,0.08,0.12,0.00,0.00,0.00,ACTMN-A,0.00,0,150.00,Percent,0.00,Yes,0.00,Yes,No,ACT,SG2+,PAULGAGN,,11/2/2020
47,,,Suspended ceiling grid - Premium grade - 2' x 2',0.00,Average,0.00,0.00,0.00,0.34,SF,,Remove,0.14,0.08,0.12,0.00,0.00,0.00,ACTMN-A,0.00,0,150.00,Percent,0.00,Yes,0.00,Yes,No,ACT,SG2++,PAULGAGN,,11/2/2020
48,,,Suspended ceiling grid - Detach & reset,0.00,Average,0.00,0.00,0.00,2.89,SF,,Replace,0.78,0.37,1.74,0.00,0.00,0.00,ACTMN-A,0.00,0,0.00,Percent,0.00,Yes,0.00,Yes,No,ACT,SG2RS,PAULGAGN,,11/2/2020
49,,,Suspended ceiling grid - Reset/realign,0.00,Average,0.00,0.00,0.00,2.68,SF,,Replace,0.72,0.34,1.61,0.01,0.00,0.00,ACTMN-A,0.00,0,0.00,Percent,0.00,Yes,0.00,Yes,No,ACT,SGRS,PAULGAGN,,11/2/2020
50,,,Suspended ceiling tile - 2' x 4',0.00,Average,0.00,0.00,0.00,0.34,SF,,Remove,0.14,0.08,0.12,0.00,0.00,0.00,ACTMN-A,0.00,0,150.00,Percent,0.00,Yes,0.00,Yes,No,ACT,ST,PAULGAGN,,11/2/2020
51,,,Suspended ceiling tile - Standard grade - 2' x 4',0.00,Average,0.00,0.00,0.00,0.34,SF,,Remove,0.14,0.08,0.12,0.00,0.00,0.00,ACTMN-A,0.00,0,150.00,Percent,0.00,Yes,0.00,Yes,No,ACT,ST-,PAULGAGN,,11/2/2020
52,,,Suspended ceiling tile - High grade - 2' x 4',0.00,Average,0.00,0.00,0.00,0.34,SF,,Remove,0.14,0.08,0.12,0.00,0.00,0.00,ACTMN-A,0.00,0,150.00,Percent,0.00,Yes,0.00,Yes,No,ACT,ST+,PAULGAGN,,11/2/2020
53,,,Suspended ceiling tile - Premium grade - 2' x 4',0.00,Average,0.00,0.00,0.00,0.34,SF,,Remove,0.14,0.08,0.12,0.00,0.00,0.00,ACTMN-A,0.00,0,150.00,Percent,0.00,Yes,0.00,Yes,No,ACT,ST++,PAULGAGN,,11/2/2020
54,,,Suspended ceiling tile - 2' x 2',0.00,Average,0.00,0.00,0.00,0.36,SF,,Remove,0.14,0.08,0.13,0.00,0.00,0.01,ACTMN-A,0.00,0,150.00,Percent,0.00,Yes,0.00,Yes,No,ACT,ST2,PAULGAGN,,11/2/2020
55,,,Suspended ceiling tile - Standard grade - 2' x 2',0.00,Average,0.00,0.00,0.00,0.36,SF,,Remove,0.14,0.08,0.13,0.00,0.00,0.01,ACTMN-A,0.00,0,150.00,Percent,0.00,Yes,0.00,Yes,No,ACT,ST2-,PAULGAGN,,11/2/2020
56,,,Suspended ceiling tile - High grade - 2' x 2',0.00,Average,0.00,0.00,0.00,0.36,SF,,Remove,0.14,0.08,0.13,0.00,0.00,0.01,ACTMN-A,0.00,0,150.00,Percent,0.00,Yes,0.00,Yes,No,ACT,ST2+,PAULGAGN,,11/2/2020
57,,,Suspended ceiling tile - Premium grade - 2' x 2',0.00,Average,0.00,0.00,0.00,0.36,SF,,Remove,0.14,0.08,0.13,0.00,0.00,0.01,ACTMN-A,0.00,0,150.00,Percent,0.00,Yes,0.00,Yes,No,ACT,ST2++,PAULGAGN,,11/2/2020
58,,,Suspended ceiling tile for clean room/kitchen - 2' x 4',0.00,Average,0.00,0.00,0.00,0.34,SF,,Remove,0.14,0.08,0.12,0.00,0.00,0.00,ACTMN-A,0.00,0,150.00,Percent,0.00,Yes,0.00,Yes,No,ACT,STCL,PAULGAGN,,11/2/2020
59,,,Suspended ceiling tile for clean room/kitchen - 2' x 2',0.00,Average,0.00,0.00,0.00,0.36,SF,,Remove,0.14,0.08,0.13,0.00,0.00,0.01,ACTMN-A,0.00,0,150.00,Percent,0.00,Yes,0.00,Yes,No,ACT,STCL2,PAULGAGN,,11/2/2020
60,,,Suspended ceiling system - 2' x 4',0.00,Average,0.00,0.00,0.00,0.64,SF,,Remove,0.26,0.15,0.23,0.00,0.00,0.00,ACTMN-A,0.00,0,150.00,Percent,0.00,Yes,0.00,Yes,No,ACT,STG,PAULGAGN,,11/2/2020
61,,,Suspended ceiling system - Standard grade - 2' x 4',0.00,Average,0.00,0.00,0.00,0.64,SF,,Remove,0.26,0.15,0.23,0.00,0.00,0.00,ACTMN-A,0.00,0,150.00,Percent,0.00,Yes,0.00,Yes,No,ACT,STG-,PAULGAGN,,11/2/2020
62,,,Suspended ceiling system - High grade - 2' x 4',0.00,Average,0.00,0.00,0.00,0.64,SF,,Remove,0.26,0.15,0.23,0.00,0.00,0.00,ACTMN-A,0.00,0,150.00,Percent,0.00,Yes,0.00,Yes,No,ACT,STG+,PAULGAGN,,11/2/2020
63,,,Suspended ceiling system - Premium grade - 2' x 4',0.00,Average,0.00,0.00,0.00,0.64,SF,,Remove,0.26,0.15,0.23,0.00,0.00,0.00,ACTMN-A,0.00,0,150.00,Percent,0.00,Yes,0.00,Yes,No,ACT,STG++,PAULGAGN,,11/2/2020
