Code,Description,Tax Status,Contractor Supplied,Quantity,Unit,Unit Price,Total,Request third-party pricing
CLNDCT,Duct cleaning equipment,Taxable,Yes,0.07289999,DA,410,29.89*,
CLNDODRIZE,Hot thermal fogging machine,Taxable,Yes,0.117620083,DA,50,5.88*,
CLNHYD2,Hydroxyl generator - with 2 generating optics + fan,Taxable,Yes,1,DA,180,180,
CLNHYD3,Hydroxyl generator - with 3 generating optics,Taxable,Yes,1,DA,200,200,
CLNPW,Pressure washing machine - variable pressure,Taxable,Yes,0.753726622,DA,101.164,76.25*,
CLNSBICEBL,"Ice blaster w/hood, compressor, and 100' hose",Taxable,Yes,0.008761905,DA,420,3.68*,
CLNSNDBLAST,"Sand blaster w/hood, compressor, and 100' hose",Taxable,Yes,0.505487179,DA,195,98.57*,
CLNSODABLST,"Soda blaster, compressor, and 100' hose",Taxable,Yes,0.006724138,DA,232,1.56*,
CLNSTM,Steam cleaner - Carpet,Taxable,Yes,0.412444444,DA,45,18.56*,
CLNVAC,Vacuum - household,Taxable,Yes,0.000909132,DA,21.999,0.02*,
CLNVAP,Vapor odor counteractant dispen. machine - Cartridge type,Taxable,Yes,1,DA,21.93,21.93,
CLNVAP>,Membrane vapor odor-counteractant dispensing machine,Taxable,Yes,1,DA,65,65,
CNCCDRILL,Concrete core drill with drilling blades,Taxable,Yes,0.033412698,DA,126,4.21*,
CNCFTGLF,2X10 form - lineal foot per use - based on 6 uses,Taxable,Yes,99.36579231,LF,0.25,24.84,
CNCFWALL,Wall forms w/ties - for both sides of wall - per LF,Taxable,Yes,142.8584262,DA,1.098,156.86,
CNCJACK,Electric jack hammer rental,Taxable,Yes,0.048823529,DA,85,4.15*,
CNCSAW,Concrete saw,Taxable,Yes,1,DA,80,80,
CNCSAWB,Diamond blade for concrete saw,Taxable,Yes,1,DA,45.25,45.25,
CPSSTOR,Storage & insurance - per month,Taxable,Yes,1,SF,2.1,2.1,
CPSSTORC,Storage & insurance - climate controlled - per month,Taxable,Yes,1.002070393,SF,2.415,2.42,
LOADER,Rubber tire front end loader w/ operator,Taxable,Yes,0.099974711,HR,118.63,11.86,
WTRDRY,Standard air mover - actual CFM > 850,Taxable,Yes,1,DA,38,38,
WTRHEPAVAC,"Vacuum w/HEPA filter (back pack, cannister, or upright)",Taxable,Yes,0.12745098,DA,25.5,3.25*,
AMAAAGC,Gas can,Taxable,Yes,1,EA,29,29,
AMAAAGC+,Gas can - High grade,Taxable,Yes,1,EA,55,55,
AMAAAGC-,Gas can - Standard grade,Taxable,Yes,1,EA,16,16,
AMAAAMR,Automobile Rim,Taxable,Yes,1,EA,160,160,
AMAAAMR+,Automobile Rim - High grade,Taxable,Yes,1,EA,540,540,
AMAAAMR-,Automobile Rim - Standard grade,Taxable,Yes,1,EA,80,80,
AMAALLOW,Appearance allowance - AMA - Enter price,Taxable,Yes,1,EA,0,0,
AMAAMA,Auto & motorcycle accessories - Enter price,Taxable,Yes,1,EA,0,0,
AMAAMAP,Automotive working parts - Enter price,Taxable,Yes,1,EA,0,0,
AMAAMAT,Trailers - Enter price,Taxable,Yes,1,EA,0,0,
AMAAMMC,Motorcycle / Scooter / ATV cover,Taxable,Yes,1,EA,35,35,
AMAAMMC+,Motorcycle / Scooter / ATV cover - High grade,Taxable,Yes,1,EA,115,115,
AMAAMMC-,Motorcycle / Scooter / ATV cover - Standard grade,Taxable,Yes,1,EA,20,20,
AMAAMME,Motorcycle / Scooter / ATV eyewear,Taxable,Yes,1,EA,40,40,
AMAAMME+,Motorcycle / Scooter / ATV eyewear - High grade,Taxable,Yes,1,EA,117,117,
AMAAMME-,Motorcycle / Scooter / ATV eyewear - Standard grade,Taxable,Yes,1,EA,15,15,
AMAAMMG,Motorcycle / Scooter / ATV gloves,Taxable,Yes,1,EA,37,37,
AMAAMMG+,Motorcycle / Scooter / ATV gloves - High grade,Taxable,Yes,1,EA,120,120,
AMAAMMG-,Motorcycle / Scooter / ATV gloves - Standard grade,Taxable,Yes,1,EA,18,18,
AMAAMMH,Motorcycle / Scooter / ATV helmet,Taxable,Yes,1,EA,166,166,
AMAAMMH+,Motorcycle / Scooter / ATV helmet - High grade,Taxable,Yes,1,EA,500,500,
AMAAMMH-,Motorcycle / Scooter / ATV helmet - Standard grade,Taxable,Yes,1,EA,75,75,
AMAAMVT,Vehicle tire - Enter price,Taxable,Yes,1,EA,0,0,
AMABKC,Car bike carrier / rack,Taxable,Yes,1,EA,200,200,
AMABKC+,Car bike carrier / rack - High grade,Taxable,Yes,1,EA,450,450,
AMABKC-,Car bike carrier / rack - Standard grade,Taxable,Yes,1,EA,70,70,
AMAKCH,Keychain,Taxable,Yes,1,EA,9,9,
AMAKCH+,Keychain - High grade,Taxable,Yes,1,EA,22,22,
AMAKCH-,Keychain - Standard grade,Taxable,Yes,1,EA,4,4,
AMARSTR,Restore and repair - AMA - Enter price,Taxable,Yes,1,EA,0,0,
AMATBTB,Truck tool box,Taxable,Yes,1,EA,350,350,
AMATBTB+,Truck tool box - High grade,Taxable,Yes,1,EA,600,600,
AMATBTB-,Truck tool box - Standard grade,Taxable,Yes,1,EA,195,195,
AMATDRS,Tie-down,Taxable,Yes,1,EA,18,18,
AMATDRS+,Tie-down - High grade,Taxable,Yes,1,EA,45,45,
AMATDRS-,Tie-down / Bungee - Standard grade,Taxable,Yes,1,EA,9,9,
AMATRLO,Open utility trailer <16',Taxable,Yes,1,EA,1300,"1,300.00",
AMATRLO+,Open utility trailer <16' - High grade,Taxable,Yes,1,EA,2650,"2,650.00",
AMATRLO-,Open utility trailer <16' - Standard grade,Taxable,Yes,1,EA,580,580,
ANTAGUN,Antique firearm - Enter price,Taxable,Yes,1,EA,0,0,
ANTBOOK,Antique book - Enter price,Taxable,Yes,1,EA,0,0,
ANTFURN,Antique furniture - Enter price,Taxable,Yes,1,EA,0,0,
APMACPT,Portable air conditioner,Taxable,Yes,1,EA,399.99,399.99,
