Code,Description,Tax Status,Contractor Supplied,Quantity,Unit,Unit Price,Total,Request third-party pricing
BHOE,Backhoe - rubber tired,Taxable,Yes,23.26298511,DA,526.172,"12,240.33*",
CLNDCT,Duct cleaning equipment,Taxable,Yes,0.07289999,DA,410,29.89*,
CLNDODRIZE,Hot thermal fogging machine,Taxable,Yes,0.117620083,DA,50,5.88*,
CLNHYD2,Hydroxyl generator - with 2 generating optics + fan,Taxable,Yes,2,DA,180,360,
CLNHYD3,Hydroxyl generator - with 3 generating optics,Taxable,Yes,2,DA,200,400,
CLNPW,Pressure washing machine - variable pressure,Taxable,Yes,0.753726622,DA,101.164,76.25*,
CLNSBICEBL,"Ice blaster w/hood, compressor, and 100' hose",Taxable,Yes,0.023285714,DA,420,9.78*,
CLNSNDBLAST,"Sand blaster w/hood, compressor, and 100' hose",Taxable,Yes,0.505487179,DA,195,98.57*,
CLNSODABLST,"Soda blaster, compressor, and 100' hose",Taxable,Yes,0.022758621,DA,232,5.28*,
CLNSTM,Steam cleaner - Carpet,Taxable,Yes,0.412444444,DA,45,18.56*,
CLNVAC,Vacuum - household,Taxable,Yes,0.000909132,DA,21.999,0.02*,
CLNVAP,Vapor odor counteractant dispen. machine - Cartridge type,Taxable,Yes,1,DA,21.93,21.93,
CLNVAP>,Membrane vapor odor-counteractant dispensing machine,Taxable,Yes,1,DA,65,65,
CNCCDRILL,Concrete core drill with drilling blades,Taxable,Yes,0.11468254,DA,126,14.45*,
CNCFTGLF,2X10 form - lineal foot per use - based on 6 uses,Taxable,Yes,142.8446598,LF,0.25,35.71,
CNCFWALL,Wall forms w/ties - for both sides of wall - per LF,Taxable,Yes,182.8589842,DA,1.098,200.78,
CNCGPUMP,Concrete mixer and pump assembly,Taxable,Yes,0.015623142,DA,507,7.92*,
CNCJACK,Electric jack hammer rental,Taxable,Yes,1.166470588,DA,85,99.15*,
CNCSAW,Concrete saw,Taxable,Yes,3.924214625,DA,80,313.94*,
CNCSAWB,Diamond blade for concrete saw,Taxable,Yes,3.924214625,DA,45.25,177.57*,
CNCSTBCGM,Stabilization - Compaction/Slurry grout - mobilization,Taxable,Yes,1,EA,3000,"3,000.00",
CNCSTBCHGM,Stabilization - Chemical grout - mobilization,Taxable,Yes,1,EA,500,500,
CNCSTBSSC,Stabilization - Slurry shift charge,Taxable,Yes,1,EA,2800,"2,800.00",
CPSPIANO,Piano skid board,Taxable,Yes,1,MO,90.51,90.51,
CPSSTOPC,Portable shipping/cargo storage container - 8'x8'x20' long,Taxable,Yes,2,MO,110,220,
CPSSTOPC<,Portable shipping/cargo storage container - 8'x8'x16' long,Taxable,Yes,2,MO,69,138,
